"Source:","C:\GitHubProjects\PGKB\PCB\Rev 02.00\000018 PGKB\000018 PGKB.kicad_sch"
"Date:","24/01/2024 22.51.38"
"Tool:","Eeschema 7.0.6"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","147"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Code","DNP","MFG_PartNo","Manufacturer","Price","Sim.Enable","Supplier","Supplier_PartNo","Value"
"","","C35","100n","KD_Capacitor:C_0603_100n_X7R_50V","KD_Capacitor:CAPC1608X90N","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/658/CL10B104KB8NNWC_Spec.pdf","","F","CL10B104KB8NNWC","Samsung","0.01","","Digi-Key","1276-1935-1-ND","100n"
"","","C36","100n","KD_Capacitor:C_0603_100n_X7R_50V","KD_Capacitor:CAPC1608X90N","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/658/CL10B104KB8NNWC_Spec.pdf","","F","CL10B104KB8NNWC","Samsung","0.01","","Digi-Key","1276-1935-1-ND","100n"
"","","C37","10u","KD_Capacitor:C_1206_10u_X7R_16V","KD_Capacitor:CAPC3216X150N","https://www.samsungsem.com/kr/support/product-search/mlcc/CL31B106MOHNNNE.jsp","10u","F","CL31B106MOHNNNE","Samsung Electro-Mechanics","0.10","","Digi-Key","1276-6641-1-ND","10u"
"","","C38","100n","KD_Capacitor:C_0603_100n_X7R_50V","KD_Capacitor:CAPC1608X90N","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/658/CL10B104KB8NNWC_Spec.pdf","","F","CL10B104KB8NNWC","Samsung","0.01","","Digi-Key","1276-1935-1-ND","100n"
"","","C39","1u","KD_Capacitor:C_0805_1u_X7R_25V","KD_Capacitor:CAPC2012X135N","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1105/CL21B105KAFNNNE_Spec.pdf","1u","F","CL21B105KAFNNNE","Samsung Electro-Mechanics","0.03","","Digi-Key","1276-1066-1-ND","1u"
"","","C40","100n","KD_Capacitor:C_0603_100n_X7R_50V","KD_Capacitor:CAPC1608X90N","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/658/CL10B104KB8NNWC_Spec.pdf","","F","CL10B104KB8NNWC","Samsung","0.01","","Digi-Key","1276-1935-1-ND","100n"
"","","C41","10n","KD_Capacitor:C_0603_10n_X7R_100V","KD_Capacitor:CAPC1608X90N","datasheet","10n","F","C1608X7R2A103K080AA","TDK Corporation","0.05","","Digi-Key","445-1304-1-ND","10n"
"","","D1","Neopixel Reverse","KD_Led:Neopixel_Reverse_Adafruit_4960","KD_Diode:LEDM_NEO3535_REVERSE_SK6812-E","https://cdn-shop.adafruit.com/product-files/4960/4960_SK6812MINI-E_REV02_EN.pdf","","F","4960","Adafruit Industries LLC","0.28","","Digi-Key","1528-4960-ND","Neopixel Reverse"
"","","D2","Neopixel Reverse","KD_Led:Neopixel_Reverse_Adafruit_4960","KD_Diode:LEDM_NEO3535_REVERSE_SK6812-E","https://cdn-shop.adafruit.com/product-files/4960/4960_SK6812MINI-E_REV02_EN.pdf","","F","4960","Adafruit Industries LLC","0.28","","Digi-Key","1528-4960-ND","Neopixel Reverse"
"","","D3","Neopixel Reverse","KD_Led:Neopixel_Reverse_Adafruit_4960","KD_Diode:LEDM_NEO3535_REVERSE_SK6812-E","https://cdn-shop.adafruit.com/product-files/4960/4960_SK6812MINI-E_REV02_EN.pdf","","F","4960","Adafruit Industries LLC","0.28","","Digi-Key","1528-4960-ND","Neopixel Reverse"
"","","D4","Neopixel Reverse","KD_Led:Neopixel_Reverse_Adafruit_4960","KD_Diode:LEDM_NEO3535_REVERSE_SK6812-E","https://cdn-shop.adafruit.com/product-files/4960/4960_SK6812MINI-E_REV02_EN.pdf","","F","4960","Adafruit Industries LLC","0.28","","Digi-Key","1528-4960-ND","Neopixel Reverse"
"","","D5","Neopixel Reverse","KD_Led:Neopixel_Reverse_Adafruit_4960","KD_Diode:LEDM_NEO3535_REVERSE_SK6812-E","https://cdn-shop.adafruit.com/product-files/4960/4960_SK6812MINI-E_REV02_EN.pdf","","F","4960","Adafruit Industries LLC","0.28","","Digi-Key","1528-4960-ND","Neopixel Reverse"
